Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.3, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 131, loss: 1.410233, train acc: 0.950966, train avg acc: 0.926193
Test 131, loss: 1.455606, test acc: 0.916532, test avg acc: 0.889547
Train 132, loss: 1.412521, train acc: 0.949116, train avg acc: 0.922976
Test 132, loss: 1.464369, test acc: 0.910859, test avg acc: 0.877047
Train 133, loss: 1.407385, train acc: 0.950863, train avg acc: 0.926529
Test 133, loss: 1.464968, test acc: 0.918152, test avg acc: 0.884041
Train 134, loss: 1.405674, train acc: 0.952919, train avg acc: 0.930285
Test 134, loss: 1.480734, test acc: 0.912075, test avg acc: 0.883849
Train 135, loss: 1.412870, train acc: 0.948705, train avg acc: 0.922452
Test 135, loss: 1.450673, test acc: 0.919368, test avg acc: 0.888709
Train 136, loss: 1.407890, train acc: 0.952611, train avg acc: 0.928802
Test 136, loss: 1.464008, test acc: 0.909238, test avg acc: 0.882552
Train 137, loss: 1.404482, train acc: 0.954359, train avg acc: 0.930807
Test 137, loss: 1.470353, test acc: 0.905186, test avg acc: 0.891047
Train 138, loss: 1.407864, train acc: 0.952611, train avg acc: 0.925703
Test 138, loss: 1.471761, test acc: 0.907618, test avg acc: 0.866674
Train 139, loss: 1.406970, train acc: 0.952508, train avg acc: 0.929300
Test 139, loss: 1.462817, test acc: 0.914506, test avg acc: 0.888750
Train 140, loss: 1.405730, train acc: 0.953228, train avg acc: 0.928709
Test 140, loss: 1.452165, test acc: 0.910049, test avg acc: 0.877337
Train 141, loss: 1.398979, train acc: 0.956209, train avg acc: 0.934852
Test 141, loss: 1.452672, test acc: 0.916126, test avg acc: 0.885081
Train 142, loss: 1.401376, train acc: 0.956209, train avg acc: 0.934491
Test 142, loss: 1.462124, test acc: 0.918152, test avg acc: 0.879547
Train 143, loss: 1.405371, train acc: 0.952611, train avg acc: 0.928980
Test 143, loss: 1.454507, test acc: 0.911264, test avg acc: 0.885959
Train 144, loss: 1.401104, train acc: 0.953022, train avg acc: 0.926891
Test 144, loss: 1.473196, test acc: 0.909238, test avg acc: 0.873262
Train 145, loss: 1.401328, train acc: 0.957751, train avg acc: 0.937136
Test 145, loss: 1.473744, test acc: 0.916937, test avg acc: 0.881459
Train 146, loss: 1.401058, train acc: 0.954359, train avg acc: 0.933450
Test 146, loss: 1.496718, test acc: 0.904781, test avg acc: 0.869581
Train 147, loss: 1.404295, train acc: 0.951069, train avg acc: 0.927898
